2020.01.09 09:07:40 WARN  web[][o.s.s.u.DeprecatedViews] Page 'Metrics' (metricsTab) is ignored. See org.sonar.api.web.page.PageDefinition to define pages.
2020.01.09 09:07:40 WARN  web[][o.s.s.u.DeprecatedViews] Widget 'Advanced Timeline Chart' (advanced_timeline) is ignored. See org.sonar.api.web.page.PageDefinition to define pages.
2020.01.09 09:07:40 INFO  web[][org.sonar.INFO] Security realm: LDAP
2020.01.09 09:07:40 INFO  web[][o.s.p.l.LdapSettingsManager] User mapping: LdapUserMapping{baseDn=ou=people,dc=ldap,dc=example,dc=com, request=(&(objectClass=inetOrgPerson)(uid={0})), realNameAttribute=displayName, emailAttribute=mail}
2020.01.09 09:07:40 INFO  web[][o.s.p.l.LdapSettingsManager] Group mapping: LdapGroupMapping{baseDn=ou=groups,dc=ldap,dc=example,dc=com, idAttribute=cn, requiredUserAttributes=[dn], request=(&(objectClass=groupOfUniqueNames)(uniqueMember={0}))}
2020.01.09 09:07:40 INFO  web[][o.s.p.l.LdapContextFactory] Test LDAP connection on ldap://ldap:389: OK
2020.01.09 09:07:40 INFO  web[][org.sonar.INFO] Security realm started
2020.01.09 09:07:41 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2020.01.09 09:07:41 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2020.01.09 09:07:41 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2020.01.09 09:07:41 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2020.01.09 09:07:42 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2020.01.09 09:07:42 INFO  web[][o.s.s.r.RegisterRules] Register rules
2020.01.09 09:07:52 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2020.01.09 09:07:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2020.01.09 09:07:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2020.01.09 09:07:54 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/SonarQube Way
2020.01.09 09:07:54 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/FindBugs
2020.01.09 09:07:55 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/FindBugs + FB-Contrib
2020.01.09 09:07:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/FindBugs Security Audit
2020.01.09 09:07:57 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/FindBugs Security Minimal
2020.01.09 09:07:58 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2020.01.09 09:07:58 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2020.01.09 09:07:58 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/FindBugs Security JSP
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile grvy/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2020.01.09 09:07:59 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2020.01.09 09:08:00 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2020.01.09 09:08:00 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@72f9f27c [pattern=UrlPattern{inclusions=[/api/measures/component/*, ...], exclusions=[/api/properties*, ...]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@1433464d [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@6e8858a0 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@355f06f4 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@4a2892d1 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@5c017a1a [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@780dc6ed [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@1b28fa73 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2020.01.09 09:08:00 INFO  web[][o.s.s.p.Platform] WebServer is operational
